chunk,phrase_type,word_order
nsubj root nsubj compound compound nmod:poss obj,noun_phrase,spo
cc conj obj cc conj case obl cc case conj compound nmod:poss mark nsubj mark nsubj nmod:poss acl:relcl case nmod compound csubj det obj nmod:poss cc aux,prepositional_phrase,osv
conj xcomp case obl det compound advmod cc det conj aux,prepositional_phrase,sov
conj cc advmod conj xcomp obj compound mark fixed obl det nsubj cc mark fixed conj nsubj amod det compound case nmod nmod:poss cc conj nsubj mark acl:relcl advmod cc nsubj cop,prepositional_phrase,osv
conj cc conj case obl det compound cop,prepositional_phrase,sov
conj advmod advmod case det det obl mark acl:relcl advmod case obl conj nsubj compound case obl case obl obj compound cc det conj case obl case case nmod cc conj cc nsubj nmod:poss obj mark case acl:relcl xcomp cc det nsubj conj xcomp cc advmod case obl conj mark mark advcl case obl nsubj cop,prepositional_phrase,osv
ccomp det nsubj case nmod nmod:poss obj compound cc mark conj case obl nmod:poss conj case obl cc case obl conj nsubj case obl nmod:poss case obl compound advmod ccomp cc conj cc advmod conj mark advcl obj case nmod advmod case det nmod conj mark mark aux advcl,prepositional_phrase,sov
case obl nmod:poss det nsubj nmod:poss advmod cop,prepositional_phrase,osv
ccomp xcomp obj nmod:poss cc conj obj cc case det obl mark acl:relcl case obl compound case nmod nsubj mark acl:relcl cc conj nmod:poss cc conj cc advmod punct parataxis flat nmod:poss punct mark nsubj compound nummod compound ccomp case obl cc nsubj conj case obl mark ccomp mark nsubj det compound cc det conj cc conj cop,prepositional_phrase,osv
ccomp case nmod cc case conj compound,prepositional_phrase,unknown
cc root,main_clause,ps
case case obl det nsubj mark acl:relcl compound det compound cc det conj cc conj det obl:unmarked case obl case nmod nsubj nmod:poss case det nmod nmod:poss compound cc conj acl:relcl mark ccomp case det obl compound xcomp case obl nmod:poss cc case conj nmod:poss cc case det conj advmod aux,prepositional_phrase,osv
acl:relcl xcomp obj amod amod nsubj nmod:poss cc conj xcomp cc conj obj nmod:poss obj compound acl case obj xcomp case obl cc conj mark advcl case obl compound compound xcomp det obj cc conj obj compound cc conj obj det compound cc nsubj det conj case obl punct parataxis nummod nummod punct cc conj obj amod nummod case nmod amod cc advmod conj case obj nmod:poss conj case obl cc conj compound cc case conj det compound compound nummod det det acl det obj,prepositional_phrase,osv
root compound case nmod compound compound nmod:poss case nmod:poss acl,prepositional_phrase,ps
case det obl cc conj mark nsubj acl:relcl case obj det amod cc det conj aux nsubj,prepositional_phrase,osv
conj case obl det compound xcomp nsubj nmod:poss cc conj det compound conj obj det case obl mark nsubj nmod:poss acl:relcl case obl cc conj mark case obl nmod:poss nsubj advcl nsubj case nmod xcomp det compound det det cop,prepositional_phrase,osv
ccomp case obl cc advmod nsubj amod conj nsubj nmod:poss nsubj det compound mark nsubj acl:relcl cc conj conj nsubj nmod:poss case nmod:poss case obl det cc conj mark acl:relcl csubj case obl compound nmod:poss mark nsubj acl:relcl cc conj conj nsubj nmod:poss det amod,prepositional_phrase,osv
cc case obl root det,prepositional_phrase,sop
mark nsubj obj case nmod cop aux,prepositional_phrase,sov
ccomp obj,complement_clause,svo
cc mark advmod advcl nsubj obj root,subordinate_clause,sop
case obl,prepositional_phrase,unknown
cc nsubj case nmod nummod mark cop,prepositional_phrase,sv
acl:relcl case obl det compound cc conj nummod case det obl case nmod cop root,prepositional_phrase,sop
case obj case obl nmod:poss cc conj case obj nsubj compound case det nmod cc conj cc advmod nsubj aux,prepositional_phrase,osv
conj advmod obj case obl case obl case nmod,prepositional_phrase,svo
cc case root compound compound cop,prepositional_phrase,p
root compound compound compound compound case nmod,prepositional_phrase,p
root csubj,main_clause,ps
case obj nmod:poss obj case obj acl det obj case nmod mark acl:relcl cc conj case obl advmod obl:unmarked case nmod compound amod,prepositional_phrase,osv
cc mark cop root,subordinate_clause,ps
case obl compound advmod amod det nsubj cc conj nsubj det nsubj mark acl:relcl case obl nmod:poss xcomp cc conj case obl compound cc case conj advmod conj case obl mark case acl:relcl cc conj case advcl obl case obl,prepositional_phrase,osv
nsubj det compound mark acl:relcl advmod xcomp cc conj case obl compound nmod:poss cc advmod conj root,prepositional_phrase,sop
case obl compound nmod:poss,prepositional_phrase,unknown
case obl compound root,prepositional_phrase,op
case obl compound,prepositional_phrase,unknown
case det det obl root nsubj,prepositional_phrase,ops
case det det obl punct,prepositional_phrase,ovs
cc root mark nsubj acl:relcl xcomp,subordinate_clause,ps
obl:unmarked amod cc conj cc mark advmod advcl advmod advmod obj case nmod obl:unmarked nummod mark acl:relcl cc conj mark ccomp punct cc parataxis dep nummod punct parataxis xcomp cc conj mark acl:relcl xcomp case obl punct case obl nmod:poss case det nmod:poss mark nsubj advcl advcl case obl,prepositional_phrase,osv
cc mark nsubj advcl root,subordinate_clause,sp
case obj case obl nmod:poss,prepositional_phrase,unknown
cc root,main_clause,ps
case obl nsubj cc conj case obl obj acl obj nmod:poss case obl nmod:poss,prepositional_phrase,osv
cc advmod root nsubj amod,adverbial_clause,ps
cc conj,unknown_chunk,unknown
mark root,subordinate_clause,p
mark advmod ccomp obj case nmod,prepositional_phrase,vo
nsubj nmod:poss case nmod root cc advmod conj obj advmod advmod nsubj,prepositional_phrase,spo
mark advmod acl:relcl nsubj case nmod mark acl:relcl nsubj compound advmod ccomp obj advmod,prepositional_phrase,svo
cc advmod root xcomp,adverbial_clause,ps
ccomp case obl cc nsubj case nmod compound case nmod compound flat conj xcomp case det obl,prepositional_phrase,osv
cc nsubj root xcomp obj compound,noun_phrase,spo
cc conj obj case det obl case advcl case obj cc conj case obj cc conj case obj cc conj case obj mark ccomp xcomp obj case det obl cc conj nsubj mark fixed advcl obj mark mark advmod advcl advmod advmod ccomp case obl obj mark advmod acl:relcl xcomp cc conj,prepositional_phrase,osv
root obj,main_clause,po
cc advmod conj amod,adverbial_clause,unknown
cc advmod root nsubj acl,adverbial_clause,ps
case obl nmod:poss mark acl:relcl case obl amod cc conj case det obl case obl det compound,prepositional_phrase,osv
cc case root compound,prepositional_phrase,p
cc mark nsubj obj root,subordinate_clause,sop
cc conj case obl compound mark advmod acl:relcl case obl nsubj,prepositional_phrase,ovs
cc mark advcl case obj cc advmod conj obj mark acl:relcl root,prepositional_phrase,ops
conj obj nmod:poss cc conj csubj obj nmod:poss,unknown_chunk,ovs
mark fixed advcl xcomp case obl amod cc conj case det obl case fixed advcl case obl nmod:poss nsubj root compound,prepositional_phrase,osp
punct appos flat nummod punct cc conj mark acl:relcl xcomp advmod xcomp cc conj punct,subordinate_clause,vs
nsubj case root cc conj,prepositional_phrase,sp
cc nsubj conj obj nmod:poss advmod cc nsubj compound det advmod conj case obl nsubj compound mark advmod acl:relcl nsubj amod case obl cc case conj compound cc case conj case obl amod mark fixed advmod advcl obj xcomp xcomp cc conj nmod:poss cc conj case obl cc conj,prepositional_phrase,sov
mark advcl aux cop root,subordinate_clause,sp
cc nsubj nmod:poss conj obj cc advmod conj case obl nsubj,prepositional_phrase,sov
advmod root,adverbial_clause,ps
case obl advmod nsubj parataxis csubj obj amod case obl nmod:poss mark advmod case acl:relcl nmod:poss det acl:relcl mark mark cop advcl,prepositional_phrase,osv
case obj cop,prepositional_phrase,sov
acl:relcl case obl,prepositional_phrase,vso
nsubj punct appos nummod nmod:unmarked punct root,subordinate_clause,sp
case obl xcomp case obl compound conj obj cc mark advcl obj cc conj case obl nmod:poss advmod conj advmod ccomp csubj cc case conj case nmod nmod:poss det amod case case nmod nmod:poss case mark advmod case nmod nmod:poss,prepositional_phrase,osv
nsubj det compound advmod mark nsubj advcl case obj nmod:poss case obl nmod:poss root,prepositional_phrase,sop
case obl mark fixed det nsubj advcl case obl cc conj case obj cc conj obj case obl nmod:poss cc conj case obl nsubj det amod det amod advmod conj nsubj compound nmod:poss case det obl,prepositional_phrase,osv
root case obl det amod advmod det,prepositional_phrase,pso
obl:unmarked case nmod cc conj case fixed nmod cc nsubj conj mark ccomp compound case nmod,prepositional_phrase,osv
cc case det obl root nsubj compound,prepositional_phrase,ops
case obl mark acl:relcl xcomp case obl compound cc conj amod xcomp case obl compound amod compound det amod mark fixed nsubj advcl case nmod acl case obl det compound,prepositional_phrase,osv
cc aux root,main_clause,ps
case obl det compound mark acl:relcl case obl cc mark conj advmod xcomp obj case nmod conj obj case det obl cc cop,prepositional_phrase,osv
