chunk,phrase_type,word_order
pred root det nsubj,noun_phrase,ps
punct advmod mark nsubj advcl obl punct parataxis X,subordinate_clause,sov
obl det amod pobj root nsubj nsubj,noun_phrase,ops
case obl acl punct nsubj advmod acl punct cc obl det amod amod pobj conj advmod nsubj nsubj advmod acl punct nsubj advmod advmod advmod acl aux,prepositional_phrase,osv
advmod root nsubj det obj nmod,adverbial_clause,pso
case nmod cc conj advmod obl det pobj xcomp punct mark advmod advmod amod nsubj case det obl advcl punct cc obl det pobj conj advmod attr cc advmod attr advmod mark xcomp punct cc advmod amod nsubj obj case det amod obl conj punct mark advcl obj obl pobj advmod advmod mark xcomp,prepositional_phrase,osv
mark nsubj det advmod case det obl neg xcomp advcl cc obl case cc obl case advmod root nsubj iobj advmod advmod xcomp obl pobj acl det amod obj,prepositional_phrase,sop
relcl cc obl pobj nsubj advmod advmod acl obl det amod pobj acomp ccomp acl amod attr relcl X X X X X X X,adverbial_clause,osv
nsubj root obj amod,noun_phrase,spo
punct nsubj parataxis advmod obl advmod pobj ref advmod obj acl:relcl,adverbial_clause,sov
det nsubj root attr det det nmod ref nsubj acl,noun_phrase,sp
cc advmod advmod advmod conj aux nsubj obj acl advmod parataxis advmod attr,adverbial_clause,sv
cc advmod attr parataxis det nsubj ref nsubj case obl acl X X X X,prepositional_phrase,sv
advmod root advmod amod nsubj poss nsubj advmod advmod,adverbial_clause,ps
ccomp punct obl amod pobj punct cc conj nsubj advmod amod advmod compound:prt xcomp obl pobj punct advcl nsubj advmod advmod ccomp punct cc mark nsubj poss amod obj advcl compound:prt xcomp,subordinate_clause,osv
nsubj root,main_clause,sp
case det amod obl advmod advmod det obj nmod:gen,prepositional_phrase,sov
cc root nsubj advmod advmod,adverbial_clause,ps
mark nsubj advmod det amod attr ccomp mark mark cop advcl,subordinate_clause,sv
mark nsubj advmod xcomp ccomp X X X,subordinate_clause,sv
mark mark advmod root,subordinate_clause,sp
