index,text
0,זה נקרא ספר חסידים דבריו ממתקים וכלו מחמדים ונכתב ליראי ה' ולחושבי שמו כי חסיד אשר לבו חפץ באהבת בוראו לעשות כל רצונו ואינו יודע לשום על לב הדברים כלם ומאיזה דבר צריך להזהר ואיך להעמיק לעשות רצון בוראו לפי שמיעטו הלבבות ולפי שיש חסיד שמשים הרבה דברים על לבו ויש חסידים שעושין מעט ואלו היה יודע ומבין בדברי החסידות היה עושה הרבה מאד מאותן החסידים העושין הרבה לכך נכתב ספר חסידים למען יראו בו יראי ה' וכל השבים לבוראם בלב שלם וידעו ויבינו מה שעליהן לעשות ומאיזה דבר צריכין ליזהר אך לא לרשעים נכתב שאם יראו בו רשעים יהיו נראים כמה דברים בעיניהם דברי שטות ואם ידברו באזניהם ילעיגו למו ועליהם אמר שלמה בחכמתו באזני כסיל אל תדבר וגו' וכן שלמה כשכתב ספר משלי לא כנגד הרשעים כתבו כי אילו היה מדבר באזניהם כל חכמתו לא היתה מועלת להטיב לבם ולהשיבם אלא כנגד הצדיקים החפצים בדרכי ה' כנגדם דבר שיראו ויבינו וישכילו וכדכתיב (הושע יד י) כי ישרים דרכי ה' צדיקים ילכו בם ופושעים יכשלו בם הא למדת שדרכי החסידות והענוה והיראה הם מכשול לרשעים ולצדיקים תקומה
1,ואמר בעל זה הספר אשר חבר דברי החסידות והענוה והיראה כל אחד במחברת בו בינותי ומכל מלמדי השכלתי וממורי קבלתי כי ראוי לכל יראי ה' להורות לבניהם ולתלמידיהם ולכל ישראל איך יוכלו להשיג לעשות רצון יוצרנו יתברך שמו ויתעלה זכרו ולקח לשונו דרך המשל להמשיל את בוראנו למדת בשר ודם כדי להכניס בלבבות בני אדם לשבר האזנים ולפקוח עינים עורות ולהבין לבות הערלים ודבר זה כתוב בתורה (יחזקאל מג ב) וקולו כמים רבים ה' כאריה ישאג וגם מראה את דמותו דמה לבריותיו עיניו כיונים ולדוגמות הרבה שוקיו עמודי שש כל זה לשבר האוזן
2,"זכר צדיק לברכה זכר צדיקו של עולם לברכה בכל פעם ופעם שאנו מזכירים את ה' הנכבד והנורא חייבים אנו לברכו בלשון הקודש יתברך שמו וחסידי הדעת יבינו משל זה לאדם אשר בנו הלך לדרך מרחקים או אוהבו כאשר מזכירו הוא אומר בני לשלום יפקד היום הזה יהיה טוב עליו ומה אדם שמת אומר מנוחתו כבוד הקב""ה שהוא חי וקיים יתברך שמו של יוצרנו על אחת כמה וכמה שיש לברכו על הזכרת שמו שהוא חי וקיים יתברך שמו הנכבד."
3, ועל זה אמרו כל השומע הזכרה מפי חבירו היה צריך לנדותו.
4, ואם לא נדהו הוא עצמו הי' בנידוי
5,ומעשה בחסיד אחד שהיה יושב בבית החופה ושמע אחד מן המשוררי' במחולות היה מזכיר את ה' בשירו והיה אותו חסיד מנדהו על כל פעם ופעם וגם שדים אינם מזכירים שם שמים לבטלה כדאיתא במגילה.
6, ולחוש דילמא שד הוא.
7, גמירי דלא מפקי שם שמים לבטלה
8,"הוכח תוכיח את עמיתך מצוה אותנו להוכיח כל אחד מישראל שמתייאש ומתעצל בעצמו אפי' מאחת מן רמ""ח מצות עשה."
9, או שהיה עובר על אחת ממצות לא תעשה האמורים ואמרו חכמים כל מי שיש בידו לעשות ולהוכיח על מצות עשה ועל מצות לא תעשה לשום ישראל שבעולם ונתייאש מלהוכיח נענש על כלם.
10, דגרסינן כל מי שיש בידו להוכיח ולמחות באנשי ביתו ולא מיחה נענש על אנשי ביתו.
11, על אנשי עירו נתפש על אנשי עירו.
12, על כל העולם כלו נתפש על כל העולם כלו.
13," ומנין שאנחנו חייבי' לחזור פעם שנייה ולהוכיחו אם לא קבלו בראשונה דאמרינן מנין למוכיח פעם אחד שיחזור ויוכיחנו שנאמר (ויקרא י""ט י""ז) הוכח תוכיח וחייב המוכיח להוכיח בדברי' כפי מדותיו של הנוכח אם הוא נוח יוכיחנו בנחת."
14, ואם הוא קשה יוכיח אותו כנגד מדותיו.
15, וימשול לו משלים ויביא לו ראיה להשיב דעתו אל רצונו.
16, ואל ישא פני זקן וגדול.
17, אם ירצה שלא יקבל תוכחה עליו.
18, מיסרו על מעשיו רעים ולא ישא פנים כלל אפי' לרב שכן אמר החכם במקום שיש חילול ה' אין חולקי' כבוד לרב.
19," ועוד אמרו הוכח אין לי אלא הרב לתלמיד תלמיד לרב מנין ת""ל הוכח תוכיח מכל מקום."
20, ואנו חייבי' להוכיח עוברי עבירות ולהלבין פניהם מן העבירות עד שיכו אותנו ויבזו אותנו ויקללו אותנו וחייב אותו המוכיח להוכיח עצמו מן העבירה ולישר דרכיו קודם שיוכיח חבירו שאם לא יעשה כן לא יקבל ממנו חברו שכך אמרו התקוששו וקשו.
21," קשט עצמך ואח""כ קשט אחרים."
22, ולא יהיה אדם מונע מחבירו אשר ילך בדרך ישר ולהתרחק מן העבירה בדברי העולם.
23, ובדברי שמים.
24, והמחזיק עצמו מלהוכיחו חייב בעונש חבירו שנא’ לא תשא עליו חטא.
25, ואם הוכיח אותו ולא קבל יצא המוכיח נקי מעונש עונו ויש למוכיח זכותו.
26, לפי שהוכיחו ללכת בדרך ישר ולהתרחק מן העון כמו שמפורש בפרשת ואתה בן אדם (יחזקאל לג ט) ואתה כי הזהרת רשע מדרכו לשוב וגו'.
27, הוא בעוונו ישא ואתה נפשך הצלת וגו' ועיקר מצוה זאת לא תשא עליו חטא מצוה שלא יוכיח איש חבירו בזעם ובהלבנת פנים אלא בנחת ובסתר תחלה כדי שלא יעיז פניו ויקשה ערפו ולבבו ויוסיף על חטאתו פשע.
28," שכן אמרו יכול יהא מוכיחו ופניו משתנות ת""ל ולא תשא עליו חטא"
29,לא תענה מכלל מצות לא תעשה אסור לומר דבר מגונה מחבירו שלא בפניו כל דבר שאם היה שומע אותו היה כועס עליו.
30, דכתיב (תהלים נ כ) תשב באחיך תדבר בבן אמך תתן דופי אבל אם עבר עבירות והוכיחו בסתר ולא קיבל אז מותר להוכיחו ברבים במעשיו הרעים בין בפניו בין שלא בפניו
31,שורש החסידות כיצד כשאדם מושך את לבו במדת חסידות וקשה עליו מפני שהכל מלעיגים עליו ומביישים אותו ואומרים דברים לצערו ומזכירים לפניו מעשיו הרעים הקדומים לא יעזוב אדם חסידותו מפני הלצנים.
32," ויכנס במדות הטובות מעט מעט יום אחר יום וקובץ על יד ירבה וע""ז נאמר אם חכמת חכמת לך."
33, ועל הלצנים נאמר מחטיאי אדם בדבר שמדברים רע על עושי מצוה וחטא גדול לומר לבעלי תשובה זכור מעשיך הראשונים אחר שזה דש במעשה לכנוס במדות החסידות.
34, ואינו חושש בשחוק הלצנים שיעשו ממנו והעושים כן לזכור מעשיו כאלו נועל דלת בפני השבים ויהא מעלה על לבו שיהא לו זכות גדול וצדקה תחשב לו אשר מתבייש ויראת ה' הטהורה נכנסת לו בלבו ומטהרת לבו וגופו מכל דבר רע מיד שיסייעוהו מן השמים להחזיקו ביראת ה' וכן אמר הבא ליטהר מסייעין אותו מן השמים מזמנין לו לעשות תשובה שלימה כי פתחי תשובה לא נסתמו ומצוה גוררת מצוה.
35, ועתה כאשר יכנס האיש תוך פתחי התשובה יתפלל יום ולילה לפני בוראו שיצילנו ממדת הדין ושלא תבא תקלה על ידו וכאשר יהיה האיש דש בחסידותו ואין לו יצר לסור ממדתו כי ישרה היא בעיניו מכאן ואילך ידריכנו בעל הישר בדרך ישרה וכן אמר דוד טוב וישר ה' על כן יורה חטאים בדרך.
36, ידרך ענוים במשפט וילמד ענוים דרכו.
37, וכשם שנכנס בקושי בחסידותו כן יותר ויותר קשה לו לעזוב מדתו הטובה מפני הבושה פן יאמרו הבריות אכן נודע הדבר כי האדם יראה לעינים ולגנוב דעת הבריות התחיל זה חסידותו.
38, ואסור לגנוב דעת הבריות ולפי שהחסידות קשה עליו לקבלו בתחלתו טוב להתחילו מבחרותו.
39, שנאמר (קהלת יב א) וזכור בוראך בימי בחורותיך גם כי יזקין לא יסור ממנה.
40, כי תשובת הזקן כאשר זקן ובטלה החמדה דומה לאדם שמדבר לשון הרע וכלתה לשונו ולא דבר יותר אבל בשוב אדם בעודו בכוחו וגבורתו ויצרו מתגבר עליו והרי הוא כובשו הרי זו התשובה המשובחת וגבורה עושה על אשר כופה את יצרו העז והקשה ועל זה נאמר ומושל ברוחו מלוכד עיר ועל כל דבר שקשה לו לאדם ועושהו שכרו הרבה מאד
41,"כשיצאו רשב""ג ור' ישמעאל בן אלישע להריגה אמר ליה רשב""ג לרבי ישמעאל איני יודע למה אני יוצא להריגה."
42," אמר שמא כשהיית דורש ברבים היה לבך שמח והנאך לבך אמר לו נחמתני וכן יעשה כל האדם שיתחרט ממעשיו הרעים בצניעותו ובענוה ילך ויעשה מעשיו ועניניו בסתר ואל יהנה לבו כלל במעשיו הטובים ואף מכל ענין החסידות יעשה בסתר כי כבר נאמר הסתר דבריך והצנע לכת עם אלהיך ואל יחזיק טובה לעצמו במה שכוונתו לשמים ישמור שלא יהנה ולא ישמח לבו שאם שמח לבו בפני העולם קבל מקצת שכרו של אותה מצוה בעה""ז."
43, ואם שמח לבו בעל כרחו כלומר לא מדעת וכוונה ילמד לו ללבו לכוף את יצרו ויחדל מאותו מעשה ששמח לבו.
44, כי כמה היו מן המתים אשר מתו בעלי המעשה הזה שעשו מעשים טובים אין מספר ונפטרו והלכו לבית עולמים.
45, ונשתכחו כי נשתכח הדבר ואין להם זכרון כי נשכח זכרם בעולם הזה ואין מזכיר להם רק זכרונם לחיי העולם הבא לפיכ' מה יתרון לי ומה הנאה לי רק שישבחוני בעולם הזה כך יחשוב בכל עת ואף בלילה בשכבו במטתו לישן יש לו לדאג פן יישן שנת עולם ולא יקיץ עוד ומדוע ישמח עוד ובמה ישבחוהו בזה העולם הכל הבל ורעות רוח
46,"ועיקר חוזק החסידות מתחלה ועד סוף אע""פ שמתלוצצים עליו אינו מניח חסידותו וכוונתו לשמים ואינו רואה פני נשים בפרט בין אנשים אחרים שכלם רואים הנשים כגון שהיה בבית החופה שהנשים שם מלובשות עדים והכל מסתכלים והוא אינו מסתכל לפיכך יזכה לרב טוב הצפון כמו שכתוב (תהלים לא כ) אשר צפנת ליראיך."
47, ועינו תשבע מזיו שכינה מלך ביפיו תחזינה עיניך.
48, לכן טוב לו לאדם כשפוגע באשה הן פנויה הן נשואה הן ארמי' הן ישראלית הן גדולה הן קטנה להעביר פניו מלהסתכל בה שכן מצינו באיוב (איוב לא א) ברית כרתי לעיני ומה אתבונן על בתולה.
49, וכן כתוב בספר בן סירא העלם עיניך מאשת חן פן תלכד במצודתה.
50, וכן עוצם עיניו מראות ברע זה שאינו מסתכל בנשים בשעה שעומדים על הכביסה כשמכבסות בגדיהם ומגביהות את לבושיהן שלא יטנפו ואז מגלו' שוקיהן ושוק באשה ערוה וכן אמר החכם אין חוצץ בפני התאוה כעצימת העינים
51,כל דבר חסידות לנהוג בכל יום דברים שיצרו קשה עליו כגון רכילות ויצר הרע דברים בטלים שלא לדבר שקר ושלא לראות בנשים.
52, ולדבר דברים בטלים מדברי העולם ללכת לטייל על הכל יש יצר.
53," וכן לא ישבע כלל ושלא להזכיר שם שמים לבטלה וכל כיוצא בזה שנוהג תמיד ויצרו מתגבר עליו ואין יכול לעמוד בפניהם אא""כ מילדותו החזיק בהם לכך יחנך אדם בניו באלה בקטנותם."
54, גם כשיזקין לא יעזבם ולא יניחם שנא’ (משלי כב ו) כי יזקין לא יסור ממנה.
55, [הרי טלית ותפלין שהרבה מן הטובים היו רוצים להתעטף בציצית ולהניח תפלין ומונעים מפני הבשת] וכל דברים דעלמא שיתנהג האדם בקטנותו כשיהיה גדול ויחפוץ לעזוב קשה תהיה עליו כמיתה אבל כשיחזיק האדם בתורה ובמצות ובמעשים טובים קשה לו לפרוש מהם מפני הבשת.
56, שימרו הבריות כל מה שעשה עד הנה כדי לגנוב דעת הבריות כדלעיל.
57, חסיד נקרא על שם חסדים.
58, עוד חסיד נקרא על שם והחסידה שתרגום אונקלוס וחוריתא וכתיב (ישעיה כט כב) ולא עתה פניו יחורו לשון בושת והלבנת פנים מה שמביישין אותו ומלבינין פניו.
59, והוא כחרש לא ישמע וכאלם לא יפתח פיו ולא בייש פני אדם נקרא חסיד ולעתיד לבא פניו מבהיקין.
60, ויזכה לשבת בשבע כתות המקבלות פני שכינה ונהנות מזיו השכינה שנא’ (ישעיה ס א) קומי אורי כי בא אורך וכבוד ה' עליך זרח ועליך יזרח ה' וכבודו עליך יראה והלכו גוים לאורך ומלכי' לנגה זרחך.
61, אלו שבע כתות נהנות מזיו שכינה
62,"אין חסיד אלא מי שעובר על מדותיו כשבאין ב""א בפניו אשר חטאו ועשו לו שלא כהוגן ועתה מתחרטים ומבקשים מחילתו ממנו."
63, ומה שיש בידם לתקן מן המעוות אשר עשו הם מתקנים ומתחרטים ומבקשים מחילתו ואומרים לקבל דין עליהן ככל אשר יגזר עליהם וכשרואה זה אשר בידו לעשות להם רעה ולהשיב להם גמולם ומוחל להם בלב שלם ואינו עושה עמהם רעה מפני זה נקרא חסיד שנאמר (ירמיה ג יב) שובה משובת ישראל ולא אפיל פני בכם כי חסיד אני.
64, וכן בני יעקב כשחטאו ליוסף מחל להם ולא שילם להם גמולם וזה שורש החסידות שצריך לעשות לפנים משורת הדין בכל דבר שנאמר (תהלים קמה יז) וחסיד בכל מעשיו
65,"שורש החסידות יראה כשאדם מתאוה לדבר הנאה ועוזב את יצרו מפני יראת השם ולא שירא מפני פורענות עולם הבא ולא בשביל הנאת העולם הזה והעוה""ב אלא ירא פן לא יהיה תמים באהבת הבורא יתברך שמו שנאמר (דברים יח יג) תמים תהיה עם ה' אלקיך וזהו הנקרא ירא ה'."
66, והגדר הגדול והמופלא עזיבת המאכלו' כי שביעת המאכלו' מביאים לידי הרהורים רעים.
